game_id;companies
70;3
20950;6352
85450;66
135938;31180
139538;31180
58674;15298
132972;3958, 858
78193;213, 2022
138142;27726, 27391
85137;82
35281;4094
107244;16265
109810;26397
86080;1033, 334
112657;2097, 4813, 8127, 13294
128861;23908
28803;12398
57291;15005
127418;23443
86109;12274, 15250, 5325
133271;11960
87751;56
87677;14840
132734;31233
59860;9599
79742;16051
118845;517, 331
93800;18910, 18911
105595;18129
121228;16131
143104;24166
65249;13634
127548;111, 23
107738;18157
104254;837
111576;25155
133974;25582
128002;23239
99817;290
122627;11534, 15898
68383;19896, 19897
74426;13633, 7041
81357;1527
249;560
4168;821, 2692
94804;25980
23243;9512
80867;21811, 1201
77346;5314, 1488
128422;23490
120626;2245, 21166
139253;28343
101773;23842
26598;11838
64856;129
132630;29855
132056;24879
90228;14999
23030;129
114697;17816
83509;426, 843
75304;13754
36200;18949
115318;18052
114663;17763
30379;9954
94912;3706, 7574
80368;864, 1922
21390;458
81218;112
61945;11518, 4607, 1956
111541;9320
81816;14336
125164;18629, 6125
31903;9867
138838;112, 27937
30219;1
125036;22172
82421;843
94408;13038, 2177
13010;12851, 7408, 11748
134441;9039, 16078
1569;874, 72, 197, 112
136976;438, 66
68855;8458
26160;11653
70383;19312
68853;15964
55114;12831
75291;1212, 2172
125216;2926, 22365
69076;11973, 4027
131861;1120
122786;25205
76035;12001
78127;5346, 1474
18595;70, 2091
132546;25512, 8628
2247;688, 13385
26487;11793
102062;28589
56789;27374
84626;2139
92803;10545
15741;7875, 7207
114694;17812
64363;6441, 2329
116572;10933
64123;1766, 608
132976;9431, 16437
100457;13061
105228;18193
85698;263
68323;22486
82844;20611, 22908
85105;70
4005;334, 749
116223;18764
93441;12865
68440;1848
34437;9043
120355;21049
209;208, 10
120730;7934
23731;10874
131856;25078
29827;15206, 15207
119152;4363, 19239
112788;21052, 5188
91905;24296, 17213
75836;1947, 2821
29575;18638
104281;17224
83825;10100, 4357
75873;7145
1435;765, 70
84590;709
114695;17814
92742;466, 18436
126534;28315
114696;17815
79587;1354, 15867
107433;8444
105114;21448, 10570
128093;23356
31001;16933
47146;1466
119222;20846
100434;30588
105507;2890
35218;8964
109596;781, 112
81105;26, 12931
3046;1431
9963;16437
106815;16128
128154;23393
52200;8590, 13189
124095;2235
83811;6171
86274;13082
106741;6198, 6218
3854;1215
16588;7676, 7678, 8167, 7677
96805;25435
68104;4741
135845;23753
27942;12378, 6083
103850;17224
9645;17463
83346;16444
68161;4598
125722;28524, 28525, 14762
130975;26782
26396;528
89656;20550
44146;14184, 14185
52202;11667
136421;26925
132856;25088, 26263
119531;21309
48160;3920
131701;12476
99790;8628
93250;130, 215
36271;8944
65091;2079, 1732
132623;29834
129786;12846
130613;24514
94890;112, 6002
105324;16016
117192;12910
54570;4822, 4822, 1466
97568;25204, 12419
2030;946, 24, 66
75955;13889
116069;18865
135856;27138, 3032
68843;634, 15542, 414
128786;23770
53088;453
106817;7263
135853;27133
128566;23624
128178;8250
48010;28134
135565;58
68866;17909, 17910
136975;3595, 13579
119182;730, 294
128845;197, 2352
18316;197, 1850, 9384
47;163, 115
102152;28126
133835;70, 876, 22721
24165;66, 2206
87806;645
118733;17975, 17976
113351;4741, 112
1015;451, 700
133970;25574
78292;863
105857;24820, 24866
128866;37
76300;15125
130896;24974
115109;8789
116788;18938
36320;6029, 8574, 10075
96858;18093, 24249
1293;841, 717, 7041
25994;11613, 11614
38338;37
115392;7981, 9005
140039;547, 1027
33462;7919
134866;22636
142502;28094
36338;8224
122563;108, 6647
750;24, 196
129866;438, 66
74120;15663, 15664
59858;4225
75887;1831, 3920, 70
115271;11760, 1405
89270;15388, 24700
91918;13634
108817;17591
68854;5274
2823;112, 1326
7996;66, 1219
68178;13508
37288;37
34086;29126
115417;18065
3120;1326, 66
102091;25067, 25068
132531;19179
105879;11203
32589;16437
87811;28225, 4996
23091;1
111741;16876
18487;9455, 1
90555;18665
86344;16384
33130;10507
3026;1420
7682;3223
134904;26960
138793;129, 310
93408;22296, 568
78789;1, 1046
129685;13855
47706;81
79331;1405, 5620
30085;5154
112820;12547
122808;22332
71228;4795
117639;9133
103849;17224
127772;23399
85357;70
83545;7048, 146
35552;305
43768;1012
18120;9294
89346;18327
5070;1975, 694
91387;15843, 1053
78864;61
80411;12691
91071;22724, 22725
79997;14284, 14285
129536;19006, 12207
39766;13019
18203;112
789;340, 559
104804;19036, 2245
119396;20516, 951
134444;14291
101608;15609, 9213
79292;1221, 6330
6831;2909
132497;28565
24475;129
27385;12192
27658;458
100547;15434, 15435
90058;14975
83857;14504
3634;197, 1853
95059;314, 423
126788;23589
46171;2809, 10068, 16262, 16260
93734;15391
120629;21168
120828;21342
97408;818
125313;10545
78473;14123, 14124
49058;1000
75327;14350
110035;25530
132793;1285, 3582, 1285
81292;111, 112, 23
37355;617, 2225
135701;26930
106622;21341
32918;7492
14047;7089
31345;12564
92634;1053
94744;2843
69496;2678
69056;23184
81058;10012
78885;22170, 1
119953;1510, 517
130036;24367
79130;14178
84836;1566
57302;13126, 1531
105422;1225
141946;19140, 528
77789;2527, 2850
27494;70, 24276
96140;290, 14055
54367;19225
92368;1287, 10362
129958;24321
54320;3155
100298;27700, 27391
11088;4605
78085;13634
90509;1
55176;1021, 2187
3593;327, 1746
137633;292, 50
93105;23058
135613;26823
6070;2682
12209;1218, 2923
136609;27022
107728;23137
26267;11667
2125;373, 145, 783
62141;21413, 5188
112608;24999, 19083
93745;18204
61670;13881, 13882
51101;11545
112798;27661, 15212
94449;30102
141943;208
104789;11167, 6379
15739;1775, 2503
44165;25228
104790;248, 1980, 22721
68938;7041
36080;9443
68059;70
76085;1411, 13913
96811;22242
55973;27209
33333;4740
30369;23105
119424;20535
8823;7835
94745;2843
79823;14055
77855;1166, 188
122271;21720
85409;17183
142505;31178
34087;16473
63834;13447
36688;11781
85742;21802
127906;23063, 56
35300;18824
19734;830, 112
142508;31180
96134;1225
120888;21261
128815;23863
178;9
14210;5824
62718;16295
58994;13452
96347;15470, 15471
134733;26945, 26946
113472;17163
770;553, 128
117797;14305
2545;321, 617
115186;18012
67110;2103
31338;10955
114698;17817
113186;4755
107272;15640
405;26
25619;66, 66, 1375
98509;129
77664;13978
89552;14931, 13291, 3494
2274;15669
4047;327, 349, 348
139506;28572
76983;20220
105108;16347
